year,month,day,tmax,tmin,rain,tmin.high,tmax.high,rain.high,Q
1979,2,22,-2.77777777777778,-8.33333333333333,38.862,-5.45436318019711,-4.27086245453829,10.16,0.287872
1979,2,23,-1.66666666666667,-7.22222222222222,31.242,-3.87369155126033,-2.7149198760058,10.16,0.287872
1979,2,24,1.11111111111111,-7.77777777777778,0,-8.61570643807063,1.95290785959167,2.54,0.278876
1979,2,25,8.88888888888889,-6.66666666666667,0,0.341432792571053,4.02749796430165,0,0.278876
1979,2,26,8.88888888888889,-2.77777777777778,0,-0.712348293386794,-0.121682245118321,7.62,0.278876
1979,2,27,-1.11111111111111,-8.33333333333333,1.778,-13.8846118678599,2.99020291194666,0,0.26988
1979,2,28,1.66666666666667,-7.77777777777778,0,-5.45436318019711,-1.15897729747331,0,0.278876
1979,3,1,7.77777777777778,-5.55555555555556,37.592,-5.45436318019711,-3.2335674021833,7.62,0.278876
1979,3,2,-1.11111111111111,-10.5555555555556,2.54,-13.8846118678599,-1.15897729747331,0,0.26988
1979,3,3,2.77777777777778,-9.44444444444444,0,-0.185457750407866,2.99020291194666,0,0.278876
1979,3,4,8.88888888888889,-3.33333333333333,0,-7.5619253521128,4.54614549047915,0,0.287872
1979,3,5,10,-2.22222222222222,0,-1.23923883636571,6.10208806901164,0,0.31486
1979,3,6,12.2222222222222,1.66666666666667,0,-3.34680100828141,8.1766781737216,0,0.35984
1979,3,7,15.5555555555556,1.66666666666667,0,-3.34680100828141,10.2512682784316,0,0.422812
1979,3,8,15.5555555555556,1.66666666666667,0,-3.87369155126033,8.1766781737216,0,0.467792
1979,3,9,16.6666666666667,2.77777777777778,0,-4.92747263721818,8.1766781737216,0,0.476788
1979,3,10,15,1.66666666666667,0,-4.92747263721818,10.7699158046091,0,0.503776
1979,3,11,14.4444444444444,1.66666666666667,0,-1.76612937934464,8.1766781737216,0,0.53976
1979,3,12,13.8888888888889,1.11111111111111,0,-3.34680100828141,9.21397322607658,0,0.575744
1979,3,13,13.3333333333333,0,0,-2.81991046530249,8.1766781737216,0,0.58474
1979,3,14,7.22222222222222,0,0,-3.34680100828141,7.65803064754416,55.88,0.638716
1979,3,15,5,-0.555555555555556,1.524,1.95290785959167,2.97588550746567,10.16,0.62972
1979,3,16,3.88888888888889,-5.55555555555556,41.91,-2.81991046530249,-2.7149198760058,0,0.530764
1979,3,17,0,-7.77777777777778,7.366,-9.1425969810496,1.43426033341417,0,0.476788
1979,3,18,2.77777777777778,-6.11111111111111,3.556,-1.76612937934464,1.43426033341417,2.54,0.4498
1979,3,19,1.11111111111111,-5,0.254,0.341432792571053,1.95290785959167,0,0.431808
1979,3,20,-0.555555555555556,-6.11111111111111,1.778,-5.98125372317603,2.99020291194666,0,0.413816
1979,3,21,1.11111111111111,-5.55555555555556,3.81,-7.5619253521128,2.99020291194666,0,0.40482
1979,3,22,1.66666666666667,-5.55555555555556,2.032,-4.40058209423926,4.02749796430165,0,0.395824
1979,3,23,2.77777777777778,-5,0,-1.23923883636571,5.06479301665664,10.16,0.413816
1979,3,24,7.77777777777778,-3.33333333333333,0,0.341432792571053,8.1766781737216,0,0.49478
1979,3,25,10,-2.77777777777778,0,-4.92747263721818,8.69532569989914,0,0.557752
1979,3,26,8.33333333333333,-2.77777777777778,0,0.341432792571053,2.99020291194666,0,0.548756
1979,3,27,5,-2.22222222222222,40.894,-1.15897729747331,1.3952138785289,5.08,0.53976
1979,3,28,1.11111111111111,-2.77777777777778,49.784,-1.15897729747331,0.341432792571053,38.1,0.476788
1979,3,29,1.66666666666667,-7.77777777777778,2.286,-9.1425969810496,0.91561280723667,2.54,0.440804
1979,3,30,1.66666666666667,-5,0,-0.185457750407866,2.47155538576916,0,0.422812
1979,3,31,2.77777777777778,-6.66666666666667,0,-9.66948752402847,3.50885043812415,0,0.422812
1979,4,1,5,-4.44444444444444,0,-7.5619253521128,2.47155538576916,7.62,0.431808
1979,4,2,3.33333333333333,-5,0,-8.61570643807063,4.54614549047915,0,0.431808
1979,4,3,3.88888888888889,-4.44444444444444,0,-5.98125372317603,7.65803064754416,0,0.467792
1979,4,4,6.11111111111111,-1.66666666666667,0,-3.87369155126033,11.8072108569641,2.54,0.58474
1979,4,5,13.3333333333333,1.11111111111111,0,-2.81991046530249,10.7699158046091,10.16,0.782652
1979,4,6,13.8888888888889,0.555555555555556,0,0.868323335549981,6.10208806901164,0,0.863616
1979,4,7,8.88888888888889,-2.77777777777778,0,-7.5619253521128,6.62073559518918,0,0.845624
1979,4,8,6.66666666666667,-0.555555555555556,0,-4.40058209423926,9.73262075225412,0,0.98956
1979,4,9,13.8888888888889,0,0,1.92210442150783,2.99020291194666,7.62,0.8996
1979,4,10,6.11111111111111,-7.22222222222222,0.254,-7.03503480913392,1.95290785959167,0,0.827632
1979,4,11,1.11111111111111,-4.44444444444444,0,1.92210442150783,4.54614549047915,0,0.8996
1979,4,12,3.88888888888889,-1.66666666666667,0,-0.185457750407866,10.2512682784316,2.54,1.16948
1979,4,13,10.5555555555556,1.11111111111111,0,-0.712348293386794,9.21397322607658,0,1.43936
1979,4,14,13.3333333333333,1.66666666666667,0,-3.87369155126033,10.7699158046091,0,1.61928
1979,4,15,16.1111111111111,1.66666666666667,0,-0.712348293386794,9.21397322607658,0,1.88916
1979,4,16,16.1111111111111,1.66666666666667,0,2.97588550746567,6.10208806901164,7.62,1.88916
1979,4,17,9.44444444444444,-2.22222222222222,0,-3.34680100828141,-0.640329771295813,10.16,1.61928
1979,4,18,1.11111111111111,-8.33333333333333,1.27,-1.76612937934464,-1.15897729747331,7.62,1.25944
1979,4,19,1.11111111111111,-7.22222222222222,0.254,-8.61570643807063,4.54614549047915,0,1.16948
1979,4,20,8.88888888888889,-2.22222222222222,0,-4.40058209423926,8.1766781737216,0,1.3494
1979,4,21,11.6666666666667,-0.555555555555556,0,-0.712348293386794,8.1766781737216,0,1.52932
1979,4,22,13.3333333333333,0,0,0.341432792571053,5.58344054283414,10.16,1.43936
1979,4,23,10,-1.66666666666667,0,-0.185457750407866,0.91561280723667,25.4,1.3494
1979,4,24,6.11111111111111,-2.77777777777778,0,-1.76612937934464,4.02749796430165,2.54,1.25944
1979,4,25,8.33333333333333,-0.555555555555556,0,-3.87369155126033,7.65803064754416,10.16,1.3494
1979,4,26,13.8888888888889,2.77777777777778,0,3.5027760504446,7.13938312136662,7.62,2.42892
1979,4,27,11.6666666666667,-0.555555555555556,0,3.5027760504446,7.65803064754416,12.7,2.96868
1979,4,28,12.2222222222222,-0.555555555555556,0,-3.87369155126033,10.7699158046091,0,2.6988
1979,4,29,11.6666666666667,0.555555555555556,0,-2.29301992232357,12.8445059093191,0,2.6988
1979,4,30,16.1111111111111,0.555555555555556,0,-1.23923883636571,9.73262075225412,0,2.87872
1979,5,1,11.1111111111111,-1.11111111111111,0,-0.712348293386794,6.62073559518918,0,2.6988
